Quote	Notes
I do not fear computers. I fear lack of them.   -- Isaac Asimov	http://www.devtopics.com/101-more-great-computer-quotes/
A computer once beat me at chess, but it was no match for me at kick boxing.   -- Emo Philips	http://www.devtopics.com/101-more-great-computer-quotes/
Computer Science is no more about computers than astronomy is about telescopes.   -- Edsger W. Dijkstra	http://www.devtopics.com/101-more-great-computer-quotes/
The computer was born to solve problems that did not exist before.   -- Bill Gates	http://www.devtopics.com/101-more-great-computer-quotes/
Software is like entropy: It is difficult to grasp, weighs nothing, and obeys the Second Law of Thermodynamics; i.e., it always increases.   -- Norman Augustine	http://www.devtopics.com/101-more-great-computer-quotes/
Software is a gas; it expands to fill its container.   -- Nathan Myhrvold	http://www.devtopics.com/101-more-great-computer-quotes/
All parts should go together without forcing.  You must remember that the parts you are reassembling were disassembled by you.  Therefore, if you can’t get them together again, there must be a reason.  By all means, do not use a hammer.   -- IBM Manual, 1925	http://www.devtopics.com/101-more-great-computer-quotes/
Standards are always out of date.  That’s what makes them standards.   -- Alan Bennett	http://www.devtopics.com/101-more-great-computer-quotes/
Physics is the universe’s operating system.   -- Steven R Garman	http://www.devtopics.com/101-more-great-computer-quotes/
It’s hardware that makes a machine fast.  It’s software that makes a fast machine slow.   -- Craig Bruce	http://www.devtopics.com/101-more-great-computer-quotes/
Imagination is more important than knowledge.  For knowledge is limited, whereas imagination embraces the entire world, stimulating progress, giving birth to evolution.   -- Albert Einstein	http://www.devtopics.com/101-more-great-computer-quotes/
The greatest enemy of knowledge is not ignorance, it is the illusion of knowledge.   -- Stephen Hawking	http://www.devtopics.com/101-more-great-computer-quotes/
The more you know, the more you realize you know nothing.   -- Socrates	http://www.devtopics.com/101-more-great-computer-quotes/
Tell me and I forget.  Teach me and I remember.  Involve me and I learn.   -- Benjamin Franklin	http://www.devtopics.com/101-more-great-computer-quotes/
Real knowledge is to know the extent of one’s ignorance.   -- Confucius	http://www.devtopics.com/101-more-great-computer-quotes/
If people never did silly things, nothing intelligent would ever get done.   -- Ludwig Wittgenstein	http://www.devtopics.com/101-more-great-computer-quotes/
Getting information off the Internet is like taking a drink from a fire hydrant.   -- Mitchell Kapor	http://www.devtopics.com/101-more-great-computer-quotes/
If you think your users are idiots, only idiots will use it.   -- Linus Torvalds	http://www.devtopics.com/101-more-great-computer-quotes/
From a programmer’s point of view, the user is a peripheral that types when you issue a read request.   -- P. Williams	http://www.devtopics.com/101-more-great-computer-quotes/
Where is the ‘any’ key?   -- Homer Simpson, in response to the message, Press any key	http://www.devtopics.com/101-more-great-computer-quotes/
Computers are good at following instructions, but not at reading your mind.   -- Donald Knuth	http://www.devtopics.com/101-more-great-computer-quotes/
There is only one problem with common sense; it’s not very common.   -- Milt Bryce	http://www.devtopics.com/101-more-great-computer-quotes/
Your most unhappy customers are your greatest source of learning.   -- Bill Gates	http://www.devtopics.com/101-more-great-computer-quotes/
Let us change our traditional attitude to the construction of programs: Instead of imagining that our main task is to instruct a computer what to do, let us concentrate rather on explaining to human beings what we want a computer to do.   -- Donald E. Knuth	http://www.devtopics.com/101-more-great-computer-quotes/
The Internet?  We are not interested in it.   -- Bill Gates, 1993	http://www.devtopics.com/101-more-great-computer-quotes/
The best way to get accurate information on Usenet is to post something wrong and wait for corrections.   -- Matthew Austern	http://www.devtopics.com/101-more-great-computer-quotes/
The most likely way for the world to be destroyed, most experts agree, is by accident.  That’s where we come in; we’re computer professionals.  We cause accidents.   -- Nathaniel Borenstein	http://www.devtopics.com/101-more-great-computer-quotes/
Pessimists, we’re told, look at a glass containing 50% air and 50% water and see it as half empty.  Optimists, in contrast, see it as half full.  Engineers, of course, understand the glass is twice as big as it needs to be.   -- Bob Lewis	http://www.devtopics.com/101-more-great-computer-quotes/
In a room full of top software designers, if two agree on the same thing, that’s a majority.   -- Bill Curtis	http://www.devtopics.com/101-more-great-computer-quotes/
It should be noted that no ethically-trained software engineer would ever consent to write a DestroyBaghdad procedure.  Basic professional ethics would instead require him to write a DestroyCity procedure, to which Baghdad could be given as a parameter.   -- Nathaniel S. Borenstein	http://www.devtopics.com/101-more-great-computer-quotes/
Mostly, when you see programmers, they aren’t doing anything.  One of the attractive things about programmers is that you cannot tell whether or not they are working simply by looking at them.  Very often they’re sitting there seemingly drinking coffee and gossiping, or just staring into space.  What the programmer is trying to do is get a handle on all the individual and unrelated ideas that are scampering around in his head.   -- Charles M. Strauss	http://www.devtopics.com/101-more-great-computer-quotes/
If you think you are worth what you know, you are very wrong.  Your knowledge today does not have much value beyond a couple of years.  Your value is what you can learn and how easily you can adapt to the changes this profession brings so often.   -- Jose M. Aguilar	http://www.devtopics.com/101-more-great-computer-quotes/
Programs must be written for people to read, and only incidentally for machines to execute.   -- Abelson and Sussman	http://www.devtopics.com/101-more-great-computer-quotes/
Commenting your code is like cleaning your bathroom -- you never want to do it, but it really does create a more pleasant experience for you and your guests.   -- Ryan Campbell	http://www.devtopics.com/101-more-great-computer-quotes/
We have to stop optimizing for programmers and start optimizing for users.   -- Jeff Atwood	http://www.devtopics.com/101-more-great-computer-quotes/
Low-level programming is good for the programmer’s soul.   -- John Carmack	http://www.devtopics.com/101-more-great-computer-quotes/
It’s OK to figure out murder mysteries, but you shouldn’t need to figure out code.  You should be able to read it.   -- Steve McConnell	http://www.devtopics.com/101-more-great-computer-quotes/
If we wish to count lines of code, we should not regard them as ‘lines produced’ but as ‘lines spent.'   -- Edsger Dijkstra	http://www.devtopics.com/101-more-great-computer-quotes/
Programming can be fun, so can cryptography; however they should not be combined.   -- Kreitzberg and Shneiderman	http://www.devtopics.com/101-more-great-computer-quotes/
Before software should be reusable, it should be usable.   -- Ralph Johnson	http://www.devtopics.com/101-more-great-computer-quotes/
If you automate a mess, you get an automated mess.   -- Rod Michael	http://www.devtopics.com/101-more-great-computer-quotes/
Looking at code you wrote more than two weeks ago is like looking at code you are seeing for the first time.   -- Dan Hurvitz	http://www.devtopics.com/101-more-great-computer-quotes/
It is easier to change the specification to fit the program than vice versa.   -- Alan Perlis	http://www.devtopics.com/101-more-great-computer-quotes/
Less than 10% of the code has to do with the ostensible purpose of the system; the rest deals with input-output, data validation, data structure maintenance, and other housekeeping.   -- Mary Shaw	http://www.devtopics.com/101-more-great-computer-quotes/
If you have a procedure with ten parameters, you probably missed some.   -- Alan Perlis	http://www.devtopics.com/101-more-great-computer-quotes/
How rare it is that maintaining someone else’s code is akin to entering a beautifully designed building, which you admire as you walk around and plan how to add a wing or do some redecorating. More often, maintaining someone else’s code is like being thrown headlong into a big pile of slimy, smelly garbage.   -- Bill Venners	http://www.devtopics.com/101-more-great-computer-quotes/
Code generation, like drinking alcohol, is good in moderation.   -- Alex Lowe	http://www.devtopics.com/101-more-great-computer-quotes/
Simplicity, carried to the extreme, becomes elegance.   -- Jon Franklin	http://www.devtopics.com/101-more-great-computer-quotes/
A program is never less than 90% complete, and never more than 95% complete.   -- Terry Baker	http://www.devtopics.com/101-more-great-computer-quotes/
When you are stuck in a traffic jam with a Porsche, all you do is burn more gas in idle.  Scalability is about building wider roads, not about building faster cars.   -- Steve Swartz	http://www.devtopics.com/101-more-great-computer-quotes/
Everyone by now presumably knows about the danger of premature optimization.  I think we should be just as worried about premature design -- designing too early what a program should do.   -- Paul Graham	http://www.devtopics.com/101-more-great-computer-quotes/
Programming without an overall architecture or design in mind is like exploring a cave with only a flashlight: You don’t know where you’ve been, you don’t know where you’re going, and you don’t know quite where you are.   -- Danny Thorpe	http://www.devtopics.com/101-more-great-computer-quotes/
The best way to predict the future is to implement it.   -- David Heinemeier Hansson	http://www.devtopics.com/101-more-great-computer-quotes/
We need above all to know about changes; no one wants or needs to be reminded 16 hours a day that his shoes are on.   -- David Hubel	http://www.devtopics.com/101-more-great-computer-quotes/
On two occasions I have been asked, ‘If you put into the machine wrong figures, will the right answers come out?’  I am not able rightly to apprehend the kind of confusion of ideas that could provoke such a question.   -- Charles Babbage	http://www.devtopics.com/101-more-great-computer-quotes/
Make everything as simple as possible, but not simpler.   -- Albert Einstein	http://www.devtopics.com/101-more-great-computer-quotes/
Today, most software exists, not to solve a problem, but to interface with other software.   -- IO Angell	http://www.devtopics.com/101-more-great-computer-quotes/
Good specifications will always improve programmer productivity far better than any programming tool or technique.   -- Milt Bryce	http://www.devtopics.com/101-more-great-computer-quotes/
The difference between theory and practice is that in theory, there is no difference between theory and practice.   -- Richard Moore	http://www.devtopics.com/101-more-great-computer-quotes/
Don’t document the problem, fix it.   -- Atli Björgvin Oddsson	http://www.devtopics.com/101-more-great-computer-quotes/
As a rule, software systems do not work well until they have been used, and have failed repeatedly, in real applications.   -- Dave Parnas	http://www.devtopics.com/101-more-great-computer-quotes/
If the code and the comments do not match, possibly both are incorrect.   -- Norm Schryer	http://www.devtopics.com/101-more-great-computer-quotes/
I think it’s a new feature.  Don’t tell anyone it was an accident.   -- Larry Wall	http://www.devtopics.com/101-more-great-computer-quotes/
If you don’t handle [exceptions], we shut your application down.  That dramatically increases the reliability of the system.   -- Anders Hejlsberg	http://www.devtopics.com/101-more-great-computer-quotes/
When debugging, novices insert corrective code; experts remove defective code.   -- Richard Pattis	http://www.devtopics.com/101-more-great-computer-quotes/
In a software project team of 10, there are probably 3 people who produce enough defects to make them net negative producers.   -- Gordon Schulmeyer	http://www.devtopics.com/101-more-great-computer-quotes/
I think it is inevitable that people program poorly.  Training will not substantially help matters.  We have to learn to live with it.   -- Alan Perlis	http://www.devtopics.com/101-more-great-computer-quotes/
Program testing can be a very effective way to show the presence of bugs, but is hopelessly inadequate for showing their absence.   -- Edsger Dijkstra	http://www.devtopics.com/101-more-great-computer-quotes/
Manually managing blocks of memory in C is like juggling bars of soap in a prison shower: It’s all fun and games until you forget about one of them.   -- anonymous Usenet user	http://www.devtopics.com/101-more-great-computer-quotes/
There’s no obfuscated Perl contest because it’s pointless.   -- Jeff Polk	http://www.devtopics.com/101-more-great-computer-quotes/
Java is the most distressing thing to hit computing since MS-DOS.   -- Alan Kay	http://www.devtopics.com/101-more-great-computer-quotes/
There are only two things wrong with C++:  The initial concept and the implementation.   -- Bertrand Meyer	http://www.devtopics.com/101-more-great-computer-quotes/
It was a joke, okay?  If we thought it would actually be used, we wouldn’t have written it!   -- Mark Andreesen, speaking of the HTML tag BLINK	http://www.devtopics.com/101-more-great-computer-quotes/
Web Services are like teenage sex.  Everyone is talking about doing it, and those who are actually doing it are doing it badly.   -- Michelle Bustamante	http://www.devtopics.com/101-more-great-computer-quotes/
Perl: The only language that looks the same before and after RSA encryption.   -- Keith Bostic	http://www.devtopics.com/101-more-great-computer-quotes/
I didn’t work hard to make Ruby perfect for everyone, because you feel differently from me.  No language can be perfect for everyone.  I tried to make Ruby perfect for me, but maybe it’s not perfect for you.  The perfect language for Guido van Rossum is probably Python.   -- Yukihiro Matsumoto, aka Matz, creator of Ruby	http://www.devtopics.com/101-more-great-computer-quotes/
XML is not a language in the sense of a programming language any more than sketches on a napkin are a language.   -- Charles Simonyi	http://www.devtopics.com/101-more-great-computer-quotes/
BASIC is to computer programming as QWERTY is to typing.   -- Seymour Papert	http://www.devtopics.com/101-more-great-computer-quotes/
It has been discovered that C++ provides a remarkable facility for concealing the trivial details of a program -- such as where its bugs are.   -- David Keppel	http://www.devtopics.com/101-more-great-computer-quotes/
UNIX is simple.  It just takes a genius to understand its simplicity.   -- Dennis Ritchie	http://www.devtopics.com/101-more-great-computer-quotes/
Some people, when confronted with a problem, think ‘I know, I’ll use regular expressions.’  Now they have two problems.   -- Jamie Zawinski	http://www.devtopics.com/101-more-great-computer-quotes/
I think computer viruses should count as life.  I think it says something about human nature that the only form of life we have created so far is purely destructive.  We’ve created life in our own image.   -- Stephen Hawking	http://www.devtopics.com/101-more-great-computer-quotes/
The only truly secure system is one that is powered off, cast in a block of concrete and sealed in a lead-lined room with armed guards.   -- Gene Spafford	http://www.devtopics.com/101-more-great-computer-quotes/
Being able to break security doesn’t make you a hacker anymore than being able to hotwire cars makes you an automotive engineer.   -- Eric Raymond	http://www.devtopics.com/101-more-great-computer-quotes/
Companies spend millions of dollars on firewalls, encryption and secure access devices, and it’s money wasted, because none of these measures address the weakest link in the security chain.   -- Kevin Mitnick	http://www.devtopics.com/101-more-great-computer-quotes/
If you think technology can solve your security problems, then you don’t understand the problems and you don’t understand the technology.   -- Bruce Schneier	http://www.devtopics.com/101-more-great-computer-quotes/
Hoaxes use weaknesses in human behavior to ensure they are replicated and distributed.  In other words, hoaxes prey on the Human Operating System.   -- Stewart Kirkpatrick	http://www.devtopics.com/101-more-great-computer-quotes/
Passwords are like underwear: you don’t let people see it, you should change it very often, and you shouldn’t share it with strangers.   -- Chris Pirillo	http://www.devtopics.com/101-more-great-computer-quotes/
I am not out to destroy Microsoft, that would be a completely unintended side effect.   -- Linus Torvalds	http://www.devtopics.com/101-more-great-computer-quotes/
Yes, we have a dress code. You have to dress.   -- Scott McNealy, co-founder of Sun Microsystems	http://www.devtopics.com/101-more-great-computer-quotes/
In an information economy, the most valuable company assets drive themselves home every night.  If they are not treated well, they do not return the next morning.   -- Peter Chang	http://www.devtopics.com/101-more-great-computer-quotes/
It’s better to wait for a productive programmer to become available than it is to wait for the first available programmer to become productive.   -- Steve McConnell	http://www.devtopics.com/101-more-great-computer-quotes/
I’m not one of those who think Bill Gates is the devil.  I simply suspect that if Microsoft ever met up with the devil, it wouldn’t need an interpreter.   -- Nicholas Petreley	http://www.devtopics.com/101-more-great-computer-quotes/
Two years from now, spam will be solved.   -- Bill Gates, 2004	http://www.devtopics.com/101-more-great-computer-quotes/
The problem of viruses is temporary and will be solved in two years.   -- John McAfee, 1988	http://www.devtopics.com/101-more-great-computer-quotes/
Computer viruses are an urban legend.   -- Peter Norton, 1988	http://www.devtopics.com/101-more-great-computer-quotes/
In 2031, lawyers will be commonly a part of most development teams.   -- Grady Booch	http://www.devtopics.com/101-more-great-computer-quotes/
I don’t know what the language of the year 2000 will look like, but I know it will be called Fortran.   -- CA Hoare, 1982	http://www.devtopics.com/101-more-great-computer-quotes/
In the future, computers may weigh no more than 1.5 tonnes.   -- Popular mechanics, 1949	http://www.devtopics.com/101-more-great-computer-quotes/
I see little commercial potential for the Internet for at least ten years.   -- Bill Gates, 1994	http://www.devtopics.com/101-more-great-computer-quotes/
Before man reaches the moon, mail will be delivered within hours from New York to California, to Britain, to India or Australia.   -- Arthur Summerfield, 1959, United States Post	http://www.devtopics.com/101-more-great-computer-quotes/
...artificial intelligence will become a major human rights issue in the twenty-first century.   -- Safiya Umoja Noble, Algorithms of Oppression: How Search Engines Reinforce Racism	https://www.goodreads.com/quotes/tag/computer-science
...if you aren't, at any given time, scandalized by code you wrote five or even three years ago, you're not learning anywhere near enough   -- Nick Black	https://www.goodreads.com/quotes/tag/computer-science
[The study of prime numbers] becoming pivotal in cryptography and online security. As it happens, it is much easier to multiply primes together than to factor them back out. In modern encryption, secret primes known only to the sender and recipient get multiplied together to create huge composite numbers that can be transmitted publicly without fear, since factoring the product would take eavesdropper way too long to be worth attempting.   -- Brian Christian, Tom Griffiths	https://www.goodreads.com/quotes/tag/computer-science
A code, which according to Turing's schema is supposed to make one machine behave as if it were another specific machine (which is supposed to make the former imitate the latter) must do the following things. It must contain, in terms that the machine will understand (and purposively obey), instructions (further detailed parts of the code) that will cause the machine to examine every order it gets and determine whether this order has the structure appropriate to an order of the second machine. It must then contain, in terms of the order system of the first machine, sufficient orders to make the machine cause the actions to be taken that the second machine would have taken under the influence of the order in question.   -- John von Neumann, The Computer and the Brain	https://www.goodreads.com/quotes/tag/computer-science
A few years ago a friend said that I use to hunt and fish and build houses and things but now my whole life revolved around my computer I replied "But my computer revolves around the world   -- Stanley Victor Paskavich, Return to Stantasyland	https://www.goodreads.com/quotes/tag/computer-science
A good standalone plugin can also make you a fair amount of money. Many developers make a decent living by simply maintaining and updating one or two crucial plugins that are far better than anything available for free.   -- Robert Duchnik, jQuery Plugin Development In 30 Minutes	https://www.goodreads.com/quotes/tag/computer-science
A healthy child given enough training time can get fairly good not only at any game, but also at any language, sport or vocation. Comparing the intelligence of humans and machines today, we humans win hands-down on breadth, while machines outperform us in a small but growing number of narrow domains, as illustrated in figure 2.1. The holy grail AI research is to build general AI (better known as artificial general intelligence, AGI) that is maximally broad: able to accomplish virtually any goal, including learning.   -- Max Tegmark, Life 3.0: Being Human in the Age of Artificial Intelligence	https://www.goodreads.com/quotes/tag/computer-science
A system of logical instructions that an automaton can carry out and which causes the automaton to perform some organized task is called a code.   -- John von Neumann, The Computer and the Brain	https://www.goodreads.com/quotes/tag/computer-science
AI can be programed to imitate human behavior only, but it can't be programmed to feel the emotions that make the humans behave the way they do.   -- Abhijit Naskar, Mission Reality	https://www.goodreads.com/quotes/tag/computer-science
AI research can have irreversible repercussions in the life of the human species, so we must tread cautiously.   -- Abhijit Naskar, Mission Reality	https://www.goodreads.com/quotes/tag/computer-science
All existing machines and memories use "direct addressing," which is to say that every word in the memory has a numerical address of its own that characterizes it and its position within the memory (the total aggregate of all hierarchic levels) uniquely.   -- John von Neumann, The Computer and the Brain	https://www.goodreads.com/quotes/tag/computer-science
Although greed is considered one of the seven deadly sins, it turns out that greedy algorithms often perform quite well.   -- Stuart Russell, Artificial Intelligence: A Modern Approach	https://www.goodreads.com/quotes/tag/computer-science
An activity originally intended to be performed by low-status, clerical – and more often than not, female – computer programming was gradually and deliberately transformed into a high-status, scientific, and masculine discipline.   -- Nathan L. Ensmenger	https://www.goodreads.com/quotes/tag/computer-science
An algorithm must be seen to be believed.   -- Donald Knuth, Leaders in Computing: Changing the digital world	https://www.goodreads.com/quotes/tag/computer-science
An international power supply is the device which means it doesn't matter what country you're in, or even if you know what country you're in (more of a problem than you might suspect) - you just plug your Mac in and it figures it out for itself. We call this principle Plug and Play. Or at least, Microsoft calls it that because it hasn't got it yet. In the Mac world we've had it for so long we didn't even think of giving it a name.   -- Douglas Adams, The Salmon of Doubt	https://www.goodreads.com/quotes/tag/computer-science
And they came to be included in a culture and community that placed the computer science engineer at the highest level of social status.   -- Alec J. Ross, The Industries of the Future	https://www.goodreads.com/quotes/tag/computer-science
Any artificial automaton that has been constructed for human use, and specifically for the control of complicated processes, normally possesses a purely logical part and an arithmetical part, i.e. a part in which arithmetical processes play no role, and one in which they are of importance.   -- John von Neumann, The Computer and the Brain	https://www.goodreads.com/quotes/tag/computer-science
Artificial intelligence is nowhere near attaining actual sentience or awareness. And without awareness it’s simply a mechanical device, which may pretend to show emotions and sentience, if it is programmed to do so, and thus it may be able to fool the humans as being alive, but in its own internal circuitry, it’d simply be following its preprogrammed tasks through the flowchart of an algorithm.   -- Abhijit Naskar	https://www.goodreads.com/quotes/tag/computer-science
Artificial intelligence will not destroy this planet, irresponsible human intelligence will.   -- Abhijit Naskar	https://www.goodreads.com/quotes/tag/computer-science
Automation vs. human labor is a false dichotomy   -- Siddharth Suri, Ghost Work: How to Stop Silicon Valley from Building a New Global Underclass	https://www.goodreads.com/quotes/tag/computer-science
believe the power of jQuery is highly underutilized. Most developers will take advantage of its shortcuts and CSS selectors, but most of the time they fail to take advantage of much else. Being able to extend jQuery, whether by adding your own functions, CSS selectors or full-blown plugins, makes you a much stronger and smarter developer.   -- Robert Duchnik, jQuery Plugin Development In 30 Minutes	https://www.goodreads.com/quotes/tag/computer-science
Bombe atomique hier, bombe informatique aujourd'hui et, demain, bombe génétique?   -- Paul Virilio	https://www.goodreads.com/quotes/tag/computer-science
C is quirky, flawed, and an enormous success.   -- Dennis M. Ritchie	https://www.goodreads.com/quotes/tag/computer-science
Ciência da Computação tem tanto a ver com o computador como a astronomia com o telescópio, a biologia com o microscópio, ou a química com os tubos de ensaio. A ciência não estuda ferramentas, mas o que fazemos e o que descobrimos com elas.   -- Edsger Dijkstra	https://www.goodreads.com/quotes/tag/computer-science
Code is not like other how-computers-work books. It doesn't have big color illustrations of disk drives with arrows showing how the data sweeps into the computer. Code has no drawings of trains carrying a cargo of zeros and ones. Metaphors and similes are wonderful literary devices but they do nothing but obscure the beauty of technology.   -- Charles Petzold, Code: The Hidden Language of Computer Hardware and Software	https://www.goodreads.com/quotes/tag/computer-science
Coding is not just code, that is a live thing to serve everyone!   -- Ming Song	https://www.goodreads.com/quotes/tag/computer-science
Computation is not the same as thought and emulation is not the same as imagination.   -- Abhijit Naskar, Mission Reality	https://www.goodreads.com/quotes/tag/computer-science
Computer science increasingly relies on its private corporate patrons who apply their own closed systems of peer review and criticism, with occasional results thrown over the wall. The closed walls of Redmond or Mountain View enable old-fashioned patronage of nature's secrets. The objectivity and scientific status of computer science is a chimera: we cannot stand on the shoulders of giants in computer science, for they simply refuse to let us.   -- Samir Chopra, Decoding Liberation: The Promise of Free and Open Source Software	https://www.goodreads.com/quotes/tag/computer-science
Computer science only indicates the retrospective omnipotence of our technologies. In other words, an infinite capacity to process data (but only data - i.e. the already given) and in no sense a new vision. With that science, we are entering an era of exhaustivity, which is also an era of exhaustion. Of generalized interactivity abolishing particularized action. Of the interface which abolishes challenge, passion, and rivalry between peoples, ideas and individuals which was always the source of the finest energies.	https://www.goodreads.com/quotes/tag/computer-science
Computers and mobile devices are becoming known for their inherent insecurities and the ability to damage the long term health of the users.   -- Steven Magee	https://www.goodreads.com/quotes/tag/computer-science
Discoveries can come in many different ways, and the most important thing is to be ready for them.   -- Neil C. Jones, An Introduction to Bioinformatics Algorithms	https://www.goodreads.com/quotes/tag/computer-science
El desarrollo de software comparte con el deporte profesional la característica de lograr que los treintañeros se sientan decrépitos   -- Neal Stephenson, Snow Crash	https://www.goodreads.com/quotes/tag/computer-science
El hecho es que el ordenador está aquí para quedarse y los niños saben utilizarlo y nosotros no. Incluso el lenguaje.   -- Tom Sharpe, Wilt On High	https://www.goodreads.com/quotes/tag/computer-science
End-to-End encryption is practically a meaningless phrase used by internet-based companies to coax people into believing the modern myth of online privacy.   -- Abhijit Naskar	https://www.goodreads.com/quotes/tag/computer-science
Every machine has artificial intelligence. And the more advanced a machine gets, the more advanced artificial intelligence gets as well. But, a machine cannot feel what it is doing. It only follows instructions - our instructions - instructions of the humans. So, artificial intelligence will not destroy the world. Our irresponsibility will destroy the world.   -- Abhijit Naskar	https://www.goodreads.com/quotes/tag/computer-science
Evolution optimizes strongly for energy efficiency because of limited food supply, not for ease of construction or understanding by human engineers.   -- Max Tegmark	https://www.goodreads.com/quotes/tag/computer-science
For many purposes, we need to understand the world as having things in it that are related to each other, not just variables with values. For example, we might notice that a large truck ahead of us is reversing into the driveway of a dairy farm but a cow has got loose and is blocking the truck’s path. A factored representation is unlikely to be pre-equipped with the attribute TruckAheadBackingIntoDairyFarmDrivewayBlockedByLooseCow with value true or false   -- Stuart Russell, Artificial Intelligence: A Modern Approach	https://www.goodreads.com/quotes/tag/computer-science
Functions that create values are easier to combine in new ways than functions that directly perform side effects   -- Marijn Haverbeke	https://www.goodreads.com/quotes/tag/computer-science
Generating a system architecture is not a deterministic process. It requires careful consideration of business requirements, technology choices, existing infrastructure and systems, and actual physical resources, such as budget and manpower.   -- Andrew Holdsworth, Oracle9i Database Performance Planning	https://www.goodreads.com/quotes/tag/computer-science
I don't know how many of you have ever met Dijkstra, but you probably know that arrogance in computer science is measured in nano-Dijkstras.   -- Alan Kay	https://www.goodreads.com/quotes/tag/computer-science
I got more interested in the calculator than I did in the problem.   -- Fernando Corbató	https://www.goodreads.com/quotes/tag/computer-science
I heard reiteration of the following claim: Complex theories do not work; simple algorithms do.	https://www.goodreads.com/quotes/tag/computer-science
I heard reiteration of the following claim: Complex theories do not work; simple algorithms do.	https://www.goodreads.com/quotes/tag/computer-science
